a,an 任一
hesitate 犹豫,踌躇
hi 嗨,喂
hide 隐藏,隐瞒
high 高级的,高等的
highly 高度地,非常
highway 公路,大路
him pro小山,丘陵
himself 他,他本人
hint 暗示,线索
hire 租借,雇用
his 他的
historical 历史(上)的
history 历史(学)
hit 打,击中
hobby 业余爱好
hold 拿着,握住
holiday 假日,假期
hollow 空的,空中的
home 家,家乡
homework 家庭作业
honest 诚实的,正直的
honey (蜂)蜜
hono(u)r 尊敬,敬意
hono(u)rable 荣誉的,光荣的
hook 钩,吊钩
hope 希望,期望
hopeful 怀有希望的
hopeless 没有希望的,绝望的
horizon 地平线
horror 恐怖
horse 马
horsepower 马力
hospital 医院
host 主人,东道主
hot 热的,急躁的
hotel 旅馆
hour 时间,时刻
house 房子,住宅
housewife 家庭主妇
housework 家务劳动
how 怎样,怎么多么
however 无论如何
huge 巨大的,庞大的
human 人的,人类的人
humble 谦卑的,恭顺的
humo(u)r 幽默,诙谐
hundred 百,一百个
hunger 饥饿
hungry 饥饿的
hunt 打猎,猎取
hurry (使)赶紧,(使)匆忙
hurt 刺痛,伤害
husband 丈夫
hut 小屋,棚屋
hydrogen 氢
I pro我
ice 冰,冰块
idea 思想,概念
ideal 理想的,完善的确想
identify 识别,鉴别;确定
if 如果,假使是否
ignore 不理睬,忽视
ill 有病的
illness 病,疾病
illustrate 阐明，图解
image 形象,肖像映像,影像
imagination 想像,想像力
imagine. 想像,设想
imitate 模仿,仿效,仿造
immediate 立即的,即时的
immense 广大的,巨大的
impact 影响,碰撞
imply 含有……意思,暗示
import 进口,输入
importance 重要(性)
important 重要的,重大的
impossible 不可能的,办不到的
impress 印,盖印
impression 印象,压痕
improve 改善,改进
improvement 改进,进步
in 在……里
inch 英寸
incident 事件,事变
incline (使)倾斜
include 包括,包含
income 收入,收益
increase 增加,增长
indeed 真正地,实际上
independent 独立的
index 索引,标志
Indian 印度的,印度人的
indicate 指出,指示
indirect 间接的
individual 个人的,单独的
indoors 在室内
industrial 工业的,产业的
industry 工业,产业
infant 婴儿,幼儿
infect 传染,感染，影响
influence 影响,感化
inform 通知,告诉
information 通知,告知
inhabitant 居民,住户
inherit 继承
initial 最初的
injure 损害,伤害
ink 墨水
inn 小旅馆,客栈
inner 内部的,里面的
innocent 清白的,无罪的
inquire/enquire 询问,打听
insect 昆虫，虫
inside 里面的，内部的
insist 坚决要求
inspect 检查,视察
inspire 鼓舞,激起
install 安装,设置
instance 例子,事例
instant 立即的,直接的
instead 代替,顶替
institute 学会,研究所,学院
institution 公共机构,协会
instruction 指示,指导
instrument 仪器,器械
insult 侮辱,凌辱
insurance 保险,保险业
insure 给……保险
intelligence 智力,
intelligent 智力聪明的
intend 想要,打算
intense 强烈的,剧烈的
intention 意图,目的
interest 兴趣,关心
interesting 有趣的
interfere 干涉,干预
interference 干涉,干预
intermediate 中间的
internal 内部的,内的
international 国际的
Internet 国际互联网,因特网
interpret 解释,说明口译
interrupt 中断(话),打扰
interruption 中断,打断
interval 间隔
interview 接见,会见
intimate 亲密的,密切的
into 成为,转入
introduce 介绍,传入
introduction 介绍
invade 侵入,侵略
invent 发明,创造
invention 发明,创造
inventor 发明者
invest 罐头投资
investigate 调查,调查研究
investment 投资
invisible 看不见的,无形的
invite 邀请,招待
involve 卷入,陷入
inward 内向,在内
iron 铁烙铁,熨斗
island 岛,岛屿
isolate 隔离,孤立
issue 颁布,发布,发行
Italian 意大利(人)的
item 条,条款,条目
jacket 上衣,茄克衫
jail 监狱,看守所
jam 拥护,阻塞果酱
January 一月
Japanese 日本的,日本人的
jar 罐,广口瓶
jaw 颌,颚
jealous 嫉妒的
jet 喷气式
jewel 宝石
job 职业,职位
join 参加,加入
joint 接合处,接头
joke 笑话,玩笑
journal 定期刊物,杂志
journey 旅行,旅程
joy 欢乐,喜悦
judge 法官,审判员
judg(e)ment 审判,判决
juice (水果)汁,液
July 七月
jump 踊跃,跳
June 六月
junior 年少的,较年幼的
just. 正好,恰好
justice 公正,公平
justify 证明……是正当的
keep 保持
kettle 水壶
key 钥匙
kick 踢
kid 小孩,开玩笑,戏弄
kill 杀死
kilogram(-me) 千克,公斤
kilometre(-ter) 公里,千米
kind 种类,仁慈的,亲切的
kindness 传递亲切
king 国王
kingdom 王国领域
kiss 吻
kitchen 厨房
knee 膝,膝盖
kneel 跪
knife 刀,餐刀
knit 编织,编结
knock 敲,敲打
know 知道,了解
knowledge 知识,学问
laboratory(lab) 实验室
labo(u)r 劳力,劳工
lack 缺乏,不足
ladder 梯子,阶梯
lady 女士,夫人
lake 湖
lamp 灯
land 陆地,地面
landlord 房东,地主
language 语言
large 大的,大体上
largely 主要地大量地
laser 激光
last 最后的,惟一剩下的
late 迟的晚的,晚期的已故的确迟,晚
lately 最近几年,不久前
later 后来的,以后的
latter 后面的,末了pro后者
laugh 笑,讥笑
laughter 笑,笑声
lauch 发射
laundry 洗衣房,洗衣店
lavatory 厕所,盥洗室
law 法律,法令
lawyer 律师
lay 放,搁铺设,砌(砖)
layer 层,阶层
lazy 懒惰的,懒散的
lead 领导,引导
lead 铅
leader 领袖,领导人
leadership 领导
leading 领导的,最主要的
leaf 叶子
league 同盟,社团
leak 漏,渗
lean 倾斜,瘦的
learn 学习,听到,获悉
learned 博学的,有学问的
learning 知识,学问
least 最小的,最少的
leather 皮革,皮革制品
leave 离开,出发
lecture 演讲,讲课
left 左,左边的
leg 腿
legal 法定的,合法的
leisure 空闲,闲暇
lend 借给,贷(款)
length 长,长度
lens 透镜,镜头
less 更少的,更小的
lesson 功课
lest 惟恐,免得
let 允许,出租,租给
letter 信,函件
level 水平,级别
liberty 自由
librarian 图书管理员
library 图书馆,藏书室
lid 盖子
lie 躺,欺骗
life 生命
lift 升起,举起
light 光,光亮
lightning 闪电
like 希望,想要
likely 很可能的
likewise 同样地,照样地
limb 肢,翼
limit 界线,限度
limitation 限制
limitied 有限的
line 线,路线,航线
link 连接,联系
lion 狮子
lip 嘴唇
liquid 液体
list 表,清单
listen 听,听从
literary 文学的
literature 文学,文献
litre 升(容量单位)
little 很少的,几乎没有的
live 居住，生存
lively 活泼的,活跃的
living 活(着)的,生活的
load 装(货),装载
loaf 一个(面包)
loan 贷款
local 地方的,本地的
locate 坐落于,位于
location 位置,场所
lock 锁,锁上
lodge 住宿,留宿
logic 逻辑,逻辑学
lonely 孤独的,寂寞的
long 长的,远的
look 看,望
loose 松的,肥大的
lorry 卡车
lose 丢失,迷(路)
loss 丢失,遗失
lot 许多
loud 响亮的
love 爱,热爱
lovely 可爱的,好看的
lover 爱好者
low 低劣的,低级的
loyal 忠诚的,忠心的
luck 运气好运
lucky 幸运的
luggage 行李
lump 团,块
lunch 午餐
luxury 奢侈,华贵
machine 机器,用机器加工
machinery [总称]机器,机械
mad 发疯的,着迷的
magazine 杂志,期刊
magic 魔法,魔术
magnetic 磁的,有磁性的
magnificent 壮丽的，宏伟的
mail 邮件
mailbox 邮箱
main 主要的
mainly 大体上,主要地
maintain 维修,保养
major 较大的,较重要的
majority 多数,大多数
make 准备,布置
male 男的,雄的
mall 商业街,购物中心
man 人,人类
manage 经营,管理,处理
management 经营,管理部门
manager 经理
mankind 人类
manner 方式,方法
manual 手的,手工做的
manufacture 制造,加工
manufacturer 制造商,制造厂
many 许多的,多的
map 地图,图
march 行军,行程
margin 边缘
mark 痕迹,斑点
market 市场,集市
marriage 结婚,婚姻
married 已婚的
marry 娶,嫁
marvel(l)ous 惊人的,妙极的
mask 面具,面罩,口罩
mass 大量,众多
master 男主人,雇主
match 火柴,竞赛
mate 伙伴,同事
material 材料,原料
mathematics 数学
matter 物质,麻烦事,毛病
mature 成熟的,熟的
maximum 最大值,极限
may aux.可能性,也许
maybe 大概,或许
mayor 市长
meal 膳食,一餐
mean 意思,意思是
meaning 意思,意义
means 手段,方法
meantime 其间
meanwhile 当时,同时
measure 量,测量
measurement 测量,度量
meat (食用)肉
mechanic 技工,机修工
mechanical 机械的,呆板的
medal 奖牌,奖章,勋章
media 新闻媒介,传播媒介
medical 医学的,医疗的
medicine 医学,内科学
medium 中间,适中
met 遇见,碰到
meeting 会议,集会
melt 融化,熔化
member 成员,会员
memory 记忆,记忆力)
mend 修理工,缝补
mental 精神的,智力的
mention 提及,说起
menu 菜单
merchant 商人
mercy 仁慈,宽恕
mere 仅仅,不过
merit 优点,价值
merry 欢乐的,愉快的
message 消息,信息
metal 金属
method 方式,方法
metre(-ter) 米,公尺
microphone 话筒
microscope 显微镜
midday 正午
middle 中间,当中
midnight 午夜
might 可能,会
mild 温暖的,暖和的
mile 英里
millitary 军事的,军用的
milk 乳,牛奶
mill 磨粉机,磨坊
millimetre(-ter) 毫米
million 百万,百万个
mind 头脑,精神
mineral 矿物,矿石
minimum 最小的,最低的
minister 部长,大臣
minor 较小的,较少的
minority 少数派少数民族
minus 负的,减的
minute 分,瞬间
miracle 奇迹
mirror 镜
miserable 痛苦的,悲惨的
miss 小姐,错过,未赶上
missile 导弹,发射物
missing 漏掉的,失踪的
mission 使命,任务
mistake 错误,过失
Mister(Mr.) 先生
mistress 女主人,主妇
misunderstand 误解,误会
mix 使混合混淆
mixture 混合物,混合物剂
mobile 运动的,活动的
mode 方式,样式
model 模范,典型
moderate 中等的,智谋的
modern 现代的,新式的
modes 谦虚的,谦让的
modify 更改,修改
moisture 潮湿,湿气
molecule 分子
moment 片刻，瞬间
Monday 星期一
money 货币,钱
monkey 猴子
month 月
monthly 每月的
monument 纪念碑
mood 心情,情绪
moon 月球,卫星
moral 道德(上)的
more 更多的
moreover 两者,此外
morning 早晨,上午
most 最多的
mostly 主要地,大部分
mother 母亲
motion 手势,眼色,动作
motive 动机,目的
motor 发动机,电动机
mount 登,上安装
mountain 山山脉
mouse 鼠鼠标
mouth 口,嘴
move 移动,搬动
movement 运动,活动
movie 电影
much 许多的,大量的
mud 泥,泥浆
multiple 多样的,倍数
multiply 乘,使相乘倍增
murder 谋杀,凶杀
muscle 肌肉
museum 博物馆
music 音乐
musical 音乐的
musician 音乐家
must aux.必须，应当
mysterious 神秘的
mystery 神秘,神秘的事物
nail 指甲,钉,将…钉牢
naked 裸体的
name 名字,名称
narrow 狭窄的
nation 民族,国家
national 民族的,国家的
native 本地的,本国的
natural 正常的,自然的
nature 自然界,大自然
navy 海军
near 靠近
nearby 附近的
nearly 差不多,几乎
neat 整洁的,干净的
necessary 必需的,必要的
necessity 必要性,需要
neck 颈
need 需要,要
needle 针
negative 否定的
neglect 忽视疏忽
negotiate 协商,洽谈
Negro 黑人
neighbo(u)r 邻居,邻国
neighbo(u)rhood 邻近
neither 两者都不
nephew 侄子,外甥
nerve 神经
nervous 神经的
nest 窝,巢
net 网纯净的
neutral 中性的,中和的
never 永不,从来没有
nevertheless 然而,不过
new 新的
newly 新近
news 新闻,消息
newspaper 报纸
next 紧接的,下次的
nice 美好的
niece 侄女,外甥女
night 夜,夜间
nine 九,九个
nineteen 十九,十九个
ninety 九十,九十个
ninth 第九
noble 高尚的,显贵的
nobody pro谁也不,无人
nod 点(头)，点头
noise 喧闹声,噪声
noisy 喧闹的
none 没有人
nonsense 胡说,废话
noodle 面条
noon 中午
nor 也不
normal 正常的,普通的
north 北,北方,北部
northeast 东北东北的
northern 北方的,北部的
northwest 西北方西北的
nose 鼻子
not 不,没有
note 笔记,记录
notebook 笔记簿
nothing 没有东西
nitice 通知,布告
noun 名词
novel (长篇)小说
November 十一月
now 现在,立刻,马上
nowadays 现今,现在
nowhere 任何地方都不
nuclear 核心的,中心的
number 数,数字
numerous 众多的,许多的
nurse 护士,保姆
nut 坚果
obey 服从,顺从
object 物体,对象,客体
oblige 迫使,责成
observation 观察,观测)
observe 观察,观测,遵守
observer 观测者,观察员
obtain 获得,得到
obvious 明显的
occasion 时机,机会
occasional 偶然的,非经常的
occupy 占,占用
occur 发生,出现
ocean 海洋
o'clock =oftheclock
October 十月
odd 奇数的,单数的
of 关于,对于
off 离开,脱离
offend 冒犯，触怒
offer 提供,提出
office 办公室,办事处
officer 官员,办事员
offi8cial 官员,行政人员
often 经常,常常
oil 油石油
okay(O.K.,OK) 好,行
old 年老的,老的
omit 省略,删去
once 一次一回
another 相互
oneself 自己,自身
onion 洋葱
only 仅仅,只不过
onto 到……上
open 开着的,开放的
opening 口子,开始,开端
opera 歌剧
operate 运转,开动
operation 意见,看法
opinion 意见,看法
opportunity 机会
oppose 反对,反抗
opposite 对面的,对立的
or 工,或,或者
oral 口头的
orange 橙,柑橘
orbit 轨道
order 命令,顺序
orderly 整洁的
ordinary 普通的
organ 器官
organization(-isation) 机构
organize(-ise) 组织,创办
origin 起源,由来
original 最初的,原始的
other 另外的,其他的
otherwise 另外,用别的
ought 应当,应该
ounce 盎司
out 在外,向外
outcome 结果
outdoor 室外的,野外的
outer 外部的,外面的
outlet 出口,出路
outline 轮廓,略图
outlook 景色,风光
output 输出,输出量
outside 向外面,在外面
outstanding 突出的,显著的
outward 向外,在外向外的
oven 炉,灶
overcoat 大衣
overcome 战胜,克服
overlook 忽视,忽略
overnight 整个夜里,一夜之间
oversea(s) 外国的,海外的
overtake 追上，赶过
owe 欠（债等）
own 有,拥有
owner 物主,货主
ox 牛
oxygen 氧
pace 步,步伐
pacific 和平的,太平洋的
pack 捆扎,打包
package 包裹,包
packet 小包裹,小捆
pad 衬垫便笺簿
page 页呼叫
pain 痛,痛苦
painful 疼痛的
paint 油漆,颜料
paint 画家
painting 绘画
pair 一对,一双
palace 宫,宫殿
pale 苍白的,灰白的
palm 手掌掌状物
pan 平底锅,盘子
pants 长裤
paper 报纸
paragraph 段,节
parallel 平行的,类似的
parcel 小包,打包,捆扎
pardon 原谅,饶恕
parent 父亲,母亲,家长
park 公园停放
part 部分,局部
partial 部分的,不完全的
participate 参与者,参加
particle 粒子,微粒
particular 特殊的,特别的
particularly 特别,尤其
partner 使用者,合伙人
party 聚会
pass 经过,穿过
passage 通过学习,经过
passenger 乘客,旅客
passive 被动的
passport 护照
past 过,越过
paste 糊,浆糊
pat 轻拍,轻打
path 小路,小径
patience 忍耐,耐心
patient 病人,耐心的
pattern 图案,图样型,式样
pause 中止,暂停
paw 爪
pay 支付,付出
payment 支付,付款额
pea 豌豆
peace 和平平静,安宁
peaceful 和平的,安宁的
peak 山顶,最高的
pear 梨
peasant 农民
peculiar 古怪的
pen 钢笔
pencil 铅笔
penetrate 穿过,渗透
penny 便士
people 人,人们
pepper 胡椒,胡椒粉
per 每经,由
percent 百分之……
percentage 百分数,百分率
perfect 完美的,无瑕的
perform 履行,执行
performance 也许,大概
perhaps 时期,时代
period 永久的,持久的
permanent 允许,同意
permission 许可证,允许许可证
persist 坚持持续
person 本人,自身
personal 个人的,私人的
perspective 视角,观点,看法
persuade 说服,劝导
pet 宠物,宠儿
petrol 汽油
petroleum 石油
phase 阶段,时期
phenomenon 现象
philosophy 哲学
phone 电话,电话机
photograph 照片
phrase 短语,词组
physical 物质的,有形的
physicist 物理学家
physics 物理(学)
piano 钢琴
pick 采摘,摘
picnic 野餐
picture 画,图画
pie 馅饼
piece 件,块,片
pig 猪
pigeon 鸽子
pile 堆,堆积
pill 药丸
pillow 枕头
pilot 飞行员
pin 钉,销,栓
pink 桃红色,粉红色
pint 品脱
pioneer 先驱,倡导者
pipe 管子烟斗
pity (觉得)可怜,怜悯
place 地方,地点
plain 明白的,清晰的
plan 计划,规划
plane 飞机,水平面
planet 行星
plant 植物,作物
plastic 塑料，塑料制品
plate 金属板,片
platform 平台,台
play 玩,剧本,戏剧
player 比赛者，演员
playground 运动场，游乐场
pleasant 令人愉快的,舒适的
pleasure 愉快,快乐
plentiful 富裕的,丰富的
plenty 丰富,大量
lot 秘密计划
plough 耕,犁
plug 堵,塞
plunge (使)投入,(使)插进
plural 复数的
plus 加上
p.m. 下午,午后
pocket 袋子,小袋
poem 诗
poet 诗人
poetry 诗歌，诗集
point 尖，尖端
poison 毒,毒物
poisonous 有毒的
pole 杆，柱,电极
police 警察当局,警方
policeman 警察
policy 政策,方针
polish 磨光,擦亮
polite 有礼貌的,客气的
political 政治(上)的
politician 政治家,政客
politics 政治,政治学
pollute 弄脏,污染
pollution 污染
pond 池塘
pool 水池,合伙经营
poor 贫困的,穷的
popular 流行的,通俗的
population 人口
pork 猪肉
port 港,港口
porter 守门人,门房
portion 一部分,一份
position 位置,方位
positive 确实的,明确的
possess 占有,拥有
possession 所有,占有
possibility 可能性,可能性
possible 可能的
possibly 尽可能地
post 邮寄，贴出
postage 邮费,邮资
postcard 明信片
postpone 推迟,延期
pot 罐,壶
potato 土豆
pound 磅英磅
pour 灌注,倾泻
poverty 贫穷,贫困
powder 粉末,粉
power 权力,政权
powerful 强大的,有力的
practical 实际上,实践的
practically 实际上,事实上
practice 练习,实习
practise 练习，实习
praise 赞扬,歌颂
pray 请求,恳求
precious 宝贵的,珍贵的
precise 精确的,准确的
predict 预言,预告
preface 序言,引言
prefer 更喜欢,宁愿
preliminary 预备的,初步的
preparation 准备,预备
prepare 准备,预备
preposition 介词
prescribe 开(药),吩咐采用
presence 出席,到场,存在
present 出席的,到场的
preserve 保护,维持
president 总统，校长,会长
press 压,揿,按
pressure 强制,压迫
pretend 假装,装扮
pretty 漂亮的,秀丽的
prevent 预防,防止
previous 先前的
price 价格,价钱
pride 自豪,自尊(心)
primary 最初的,主要的
principal 最重要的,主要的
principle 原理,原则
print 印刷,印刷品
prior 优先的,在前的
prison 监狱
prisoner 囚犯
private 私人的,个人的
prize 奖赏,奖金
probable 很可能的,大概的
probably 大概,或许
problem 问题,疑难问题
procedure 过程,步骤
proceed 进行,继续下去
process 过程,进程
procession 行列,队伍
produce 生产,制造
product 产品,产物乘积
production 产品,作品
profession 职业
professional 职业的,专业
professor 教授
profit 益处,得益
program(me) 计划,议程
progress 前进,进步
progressive 进步的,先进的
project 方案,计划
promise 允诺,答应
promote 促进,发扬
pronoun 代词
pronounce 宣布,宣判
pronunciation 发音
proof 证明,证据
proper 适合的,恰当的
property 财产,资产
proportion 比例
proposal 提议,建议
propose 提议,建议
protect 保护
protein 蛋白质
protest 抗议,反对
proud 自豪的,得意的
prove 证明书,证实
provide 提供,供给
province 省
provision 供应
public 公众的,公共的
publication 出版,发行
publish 出版,刊印
pull 拉,拖拔
pulse 脉搏,脉冲
pump 泵
punctual 准时的
punish 惩罚,处罚
punishment 惩罚,处罚
pupil 小学生，瞳孔
purchase 买,购买
pure 纯的,纯洁的
purple 紫的紫色
purpose 目的,意图
purse 钱包
pursue 追赶,追踪
push 推,推力
put 放,摆
puzzle 难题,谜
qualification 资格，资格证明
qualify 具有资格，限定
quality 质量，品质,特性
quantity 量,数量
quarrel 争吵,争论
quarter 四分之一
queen 王后
question 问题,议题
queue 行列,长队
quick 快的,迅速的
quickly 快,迅速
quit 停止,,辞(职)
quiet 安静的,平静的
quite 十分,完全
quiz 智力竞赛,小测验
quote 引用,援引
rabbit 兔子
race 比赛,竞赛
radar 雷达
radio 收音机
rag 碎布,破布
rail 铁轨,轨道
railroad =railway
railway 铁道
rain 雨，下雨
raincoat 雨衣
rainy 下雨的
raise 举起,抬高
range 延伸,绵亘
rank 军衔,社会阶层
rapid 快的,迅速的
rare 稀有的,难得的
rarely 很少,难得
rat 老鼠
rate 率,比率
rather 相当,宁愿,宁可
ratio 比,比率
raw 未煮过的,生的
ray 光线,射线
reach 抵达,达到
react 起反应,起作用
reaction 反应,反作用
read 读,阅读
reader 读者，读物,读本
readily 乐意地,欣然地
reading 阅读,读书
ready 准备好的
real 现实的,实际的
reality 现实,真实
realize(-ise) 认识到,了解
really 真正地，实在地
rear 后来的,饲养,种植
reason 理由,原因是
reasonable 合理的,有道理的
recall 回忆,回想
receipt 收条,收据，收到
receive 收到,接到
receiver 收受者接收器
recent 新近的,近来的
recently 新近,最近
reception 接待,招待会
recognize(ise) 认出,辨认
recommend 推荐,介绍
record 记录,记载
recorder 履历,经历
recover 痊愈,复元，恢复
recover 痊愈,复元
red 红色
reduce 减少,缩减
reduction 减少,缩小
refer 参考,参阅
reference 提及,涉及
refine 精炼,精制
reflect 反映,表现
reflection 反映,倒影
reform 改革,改进,改造
refrigerator 冰箱,冷藏库
refuse 拒绝,谢绝
regard 尊敬,尊重
regarding 关于
regardless 不留心的,不注意的
region 地区,区域
register 登记,注册
regret 抱歉,遗憾
regular 有规律的,有规则的
reject 拒绝,丢弃
relate 叙述,讲
relation 关系,联系
relationship 关系,关联
relative 亲属,亲戚
relax 松驰,放松
release 释放,解放
reliable 可靠的
relief 减轻,援救,救济
religion 宗教,信仰
rely 依赖,依靠信赖,信任
remain 继续存在,剩余,遗留
remark 评论,议论
remarkable 异常的,非凡的
remedy 治疗,药物,补救
remember 记起,记得
remind 提醒,,使想起
remote 遥远的,长久的
remove 去掉,移动,迁居
render 使得,致使提出
renew ((使)更新,恢复
rent 租租金
repair 修理,修补
repeat 反复,重复
replica 重复,复制品
replace 取代,替换
reply 回答,答复
report 报告,传闻
reporter 记者
represent 描述,表示
representative 典型的
republic 共和国,共和政体
request 请求,要求
require 需要，要求,命令
rescue 援救,营救
research 研究,调查
resemble 好像,类似
reserve 储备,保存
reservoir 水库,蓄水池
residence 居住，住处
resist 抵抗,反抗抗,忍得住
resistance 反抗,抵抗
resolution 坚定,决心
resolve 决心,决定
resource 资源,智谋
respect 尊敬,尊重
respective 各自的,各个的
respond 回答,响应
response 回应,答复
responsibility 责任，责任心
responsible 有责任的，可靠的,可信赖的
rest 休息,睡眠
restaurant 餐馆,饭店
restore 恢复,使回复
restrict 限制,约束
result 结果,成果
resume 重新开始,恢复
retain 退休,引退退却,撤退
retreat 撤退,退却
return 返回,回来
reveal 展现,显示提示,揭露
reverse 相反,反面
review 回顾,复习
revise 修订,校订
revolution 革命
revolutionary 革命(性)的
reward 报酬,赏金,奖赏
ribbon 缎带,丝带
rice 稻,米
rich 富的,有钱的
rid 使摆脱,使去掉
ride 骑,乘
rifle 步枪
right 正确的,对的
ring 卷,环
ripe 熟的,成熟的
rise 升起,上升,起床
river 河流
road 道路,路
roar 吼叫,怒号
roast 烤,炙,烘
rob 抢劫,盗取
rock 岩石,石块
rocket 火箭
rod 杆,棒
role 角色作用任务
roll 滚动,滚转
roof 屋顶,顶
room 房间，余地,机会
root 根,根部,根源
rope 绳,索
rose 蔷薇,玫瑰
rough 粗糙的,大致的
round 圆的,球形的
route 路线,路程
routine 例行公事,惯例
row 排,行
royal 王室的,皇家的
rub 擦,摩擦
rubber 橡皮,橡胶
rubbish 垃圾,废物
rude 粗鲁的,不礼貌的
rug 地毯
ruin 毁灭,毁坏
rule 统治,控制
ruler 统治者，直尺
run 跑,奔跑
rural 农村的
rush 冲,匆忙,急迫
Russian 俄罗斯的.俄国的
rust 铁锈
sack 袋,包，解雇
sad 悲哀的,悲痛的
saddle 鞍,鞍状物
safe 安全的,平安的
safety 安全,保险
sail 航行，启航,开船
sailor 水手,海员
sake 缘故,理由
salad 凉拌菜,色拉
salary 薪水,工资
sale 出售，卖出
salesman 售货员,推销员
salt 盐，腌,盐渍
same 相同的,同样的
sample 样品,试样
sand 沙，沙滩
sandwich 夹心面包
satellite 卫星
satisfaction 满意,满足
satisfactory 令人满意的
satisfy 满足,使满意
Saturday 星期六
saucer 茶托，碟子
sausage 香肠
save 救，拯救
saving 储蓄,存款节省
saw 锯,锯开
say 说,讲，发言权
scale 刻度,标度
scarce 缺乏的,不足的
scarcely 几乎不,简直没有
scare 惊吓,受惊，惊恐
scatter 分散,散开,撒开
scene 景色,景象
scenery 风景,景色
schedule 时间表,日程安排表
scheme 计划,规划
scholar 学者
school 学校，学派,流派
science 科学,学科
scientific 科学的
scientist 科学家
scissors 剪刀
scold 责骂,申斥
scope 范围，余地机会
score 得分,分数
scratch 抓,搔,抓伤
scream 尖声叫，尖叫声
screen 屏幕，掩蔽,遮
screw 螺旋,拧,拧紧
sea 海,海洋
seal 封铅,封条,密封
search 搜查,搜寻
season 季,季节
seat 座,座位,场所
second 次等的，秒
secondary 二级的,第二的
secret 秘密,奥秘
secretary 秘书，书记
section 断面，部门,科
secure 安全的,可靠的
security 安全
seed 种子，结实,结籽
seek 寻找,探索
seem 好像,似乎
seize 抓住,逮住
seldom 很少,不常
select 选择,挑选
selection 挑选,精选品
self 自我,自己
selfish 自私的
sell 出售,卖
senate 参议员,上院
send 派遣,打发
senior 年长的
sense 感官,官能
sensitive 敏感的
sentence 句子，判决,宣判
separate 分离的,分开的
September 九月
series 系列,连续
serious 严肃的,庄重的
servant 仆人
serve 服务,伺候
service 服务,公用事业
set 安置,放
settle 解决
seven 七,七个
seventeen 十七,十七个
seventh 第七
seventy 七十,七十个
several 几个,数个
severe 严格的，剧烈的
sew 缝制,缝纫
sex 性别,性
sexual 两性的
shade 荫,阴暗
shadow 阴影，影子
shake 摇动，震动
shall 将,将要
shallow 浅薄的
shame 羞耻,羞愧
shape 形状,外形
share 分摊,分享,共用
sharp 锋利的,锐利的
shave 刨,剥刮脸
shed 发散,散发
sheep 羊,绵羊
sheet 薄片，被单
shelf 架子
shell 壳，炮弹
shelter 掩蔽,保护
shield 防护物,防护
shift 替换,转换,换班
shine 照耀,发光，光泽
ship 船,船舶
shirt 衬衫
shiver 战栗,发抖
shock 震动,触电
shoe 鞋
shoot 发射,射击
shop 商店,店铺
shore 滨,岸
short 短的,矮的
shortage 不足,缺少
shortcoming 缺点,短处
shortly 立刻,简言之
shot 开枪,炮弹
should shall的过去式应该
shoulder 肩部，肩负,承当
shout 呼喊,呼叫.
show 呈现,显示，演出
shower 阵雨，淋浴
shrink 收缩,皱缩
shut 关上,闭上
shy 怕羞的,畏缩的
sick 有病的
side 侧面,旁边
sight 视力,,瞥见
sightseeing 观光,浏览
sign 标记，标志
signal 信号
signature 签名，署名
significance 意义，重要性
silence 静，寂静
silent 寂静的，沉默的
silk 丝,绸
silly 傻的,糊涂的
silver 银,镀银
similar 相似的,类似的
simple 简单的,简易的
simply 简单地
since 自从
sincere 诚挚的,真实的
sing 唱,演唱
single 单一的,未婚的
sink 沉没,水槽,水池
sir 先生
sister 姐妹
sit 就座,坐
site 位置,地点
situation 状况,处境
six 六,六个
sixteen 十六,十六个
sixth 第六
sixty 六十,六十个
size 大小,尺寸
skate 溜冰,滑冰
sketch 概略,梗概
ski 滑雪
skill 技能,技巧
skilled 熟练的
skillful 灵巧的,熟练的
skin 皮肤,皮毛,外壳
skirt 裙子
sky 天,天空
slave 奴隶
sleep 睡睡
sleeve 袖子
slide 滑动,滑道
slight 轻微的,微小的
slim 苗条的，薄的
slip 滑落,滑掉
slope 斜坡,斜面
slow 迟钝的
small 小的,少的
smart 漂亮的,潇洒的
smell 气味,嗅觉
smile 微笑，微笑
smoke 烟,烟尘
smooth 光滑的
snake 蛇
snow 雪，下雪
so 因而,所以
soap 肥皂
so-called 所谓的
social 社会的
socialism 社会主义
socialist 社会主义的
society 团体,会,社
sock 短袜
soda 苏打,汽水
sofa (长)沙发
soft 软的,柔软的
soil 泥土,土壤
solar 太阳的,日光的
sole 单独地,鞋底
soldier 士兵,军人
solid 固体的,坚固的
solution 解答,溶解,溶液
solve 解决,解答
some 一些,若干，稍微
somebody 某人,有人
somehow 设法
someone 某人,有人
something 某事,某物
sometime 在某一时候,曾经
sometimes 不时,有时
somewhere 稍微,有点
son 在某处,到某处
song 儿子
soon 不久,即刻
sore 疼痛的
sorrow 悲哀,悲痛
sorry 遗憾的
sort 种类,类别,整理
soul 灵魂,精神,精力
sound 声音，听起来
soup 汤
sour 酸的，发酵的
source 来源,出处
south 南,南方,南部
southeast 东南的
southern 南方的,南部的
southwest 西南的
sow 播(种)
space 间隔,距离,太空
spade 铲,锹
Spanish 西班牙的
spare 多余的,节省
spark 火星,火花
speak 说,说话
special 特殊的,专门的
specialist 专家
